X,Y,WEATHER_STATIONS_ID,STATION_CODE,STATION_NAME,STATION_ACRONYM,LATITUDE,LONGITUDE,ELEVATION,INSTALL_DATE,OBJECTID
-117.879914834393,50.3830062705645,112,383,FALLS CREEK,FFC,50.383,-117.8799,790,2002/09/30 22:00:00+00,965217
-115.151847006395,49.287639505166,113,412,ELKO,FEK,49.287633,-115.151833,880,1997/10/01 22:00:00+00,965218
-115.758347599345,49.9444508830282,114,419,JOHNSON LAKE,FJL,49.944444,-115.758333,853,1989/04/11 22:00:00+00,965219
-116.383014381162,49.7845064036648,115,421,DEWAR CREEK,FDR,49.7845,-116.383,1608,1993/05/07 22:00:00+00,965220
-115.8483475439,49.6673064547186,116,426,CRANBROOK,FXC,49.6673,-115.848333,996,2001/06/28 22:00:00+00,965221
-129.09982700748,56.0127300047128,117,430,VAN DYKE,FVD,56.012725,-129.099808,296,1992/05/13 22:00:00+00,965222
-128.704768459753,55.5768383569847,118,433,CRANBERRY,FCB,55.576833,-128.70475,500,1995/07/31 22:00:00+00,965223
-120.486076994708,55.2957661721926,119,437,NOEL,FNE,55.29576,-120.48606,988,1996/06/18 22:00:00+00,965224
-125.511408744328,59.3336999468325,120,438,ELK MOUNTAIN,FEL,59.333694,-125.511389,437,1993/05/28 22:00:00+00,965225
-127.335159269789,59.7226719749073,121,440,FIRESIDE,FFS,59.722667,-127.335139,731,1996/05/16 22:00:00+00,965226
-123.637515329271,48.5297055162689,122,543,31N (CRD),31N,48.5297,-123.6375,600,2002/04/15 22:00:00+00,965227
-117.180514813615,50.7808396743634,123,385,DUNCAN,FDN,50.780833,-117.1805,1376,1992/05/20 22:00:00+00,965228
-118.626048157667,49.9599894612071,124,388,KETTLE 2,FKT,49.959983,-118.626033,1389,1987/08/08 22:00:00+00,965229
-118.578348007502,49.4328394360336,125,391,EIGHT MILE,FEM,49.432833,-118.578333,1338,1993/05/07 22:00:00+00,965230
-118.360347991542,49.5266728659615,126,393,NICOLL,FNI,49.526667,-118.360333,866,1988/10/27 22:00:00+00,965231
